Gene	Chr	Start	Stop
ACTB	chr7	5566778	5570232
ACTG1	chr17	79476996	79479892
ADCY3	chr2	25042038	25142055
ADCY9	chr16	4012649	4166186
AKT1	chr14	105235686	105262080
AKT2	chr19	40736223	40791302
AKT3	chr1	243651534	244006584
APOA1	chr11	116706468	116708338
APOL1	chr22	36649116	36663577
ARAF	chrX	47420498	47431320
ARF1	chr1	228270360	228286913
ARHGAP10	chr4	148653452	148993927
ARPC1A	chr7	98923495	98963885
ARPC1B	chr7	98972297	98992404
ARPC2	chr2	219081816	219119071
ARPC3	chr12	110872705	110888158
ARPC4	chr3	9834231	9848789
ARPC5	chr1	183595327	183605076
ARPC5L	chr9	127631483	127639696
ATP6AP1	chrX	153656977	153664862
ATP6V0A1	chr17	40610861	40674597
ATP6V0A2	chr12	124196864	124246301
ATP6V0A4	chr7	138391038	138482941
ATP6V0B	chr1	44440601	44443972
ATP6V0C	chr16	2563726	2570224
ATP6V0D1	chr16	67471916	67515089
ATP6V0D2	chr8	87111138	87166454
ATP6V0E1	chr5	172410762	172461900
ATP6V0E2	chr7	149570056	149577787
ATP6V1A	chr3	113465865	113530905
ATP6V1B1	chr2	71162997	71192561
ATP6V1B2	chr8	20054703	20079207
ATP6V1C1	chr8	104033247	104085285
ATP6V1C2	chr2	10861774	10925236
ATP6V1D	chr14	67804580	67826720
ATP6V1E1	chr22	18074902	18111588
ATP6V1E2	chr2	46738985	46747096
ATP6V1F	chr7	128502856	128505903
ATP6V1G1	chr9	117349993	117361152
ATP6V1G2	chr6	31512227	31514625
ATP6V1G3	chr1	198492351	198510075
ATP6V1H	chr8	54628102	54755602
BAD	chr11	64037299	64052176
BCAR1	chr16	75262927	75299905
BRAF	chr7	140433812	140624564
CAV1	chr7	116164838	116201239
CAV2	chr7	116139654	116148595
CAV3	chr3	8775485	8788451
CBL	chr11	119076985	119178859
CBLB	chr3	105377108	105587887
CBLC	chr19	45281125	45303903
CCL2	chr17	32582295	32584220
CD2AP	chr6	47445524	47594996
CD36	chr7	80267831	80308593
CD40	chr20	44746905	44758384
CD40LG	chrX	135730335	135742549
CD81	chr11	2398546	2418649
CDC42	chr1	22379119	22419436
CDH1	chr16	68771194	68869444
CDKN1A	chr6	36644236	36655116
CFTR	chr7	117120016	117308718
CHUK	chr10	101948123	101989344
CLDN1	chr3	190023489	190040235
CLDN10	chr13	96204946	96232010
CLDN11	chr3	170136652	170152479
CLDN14	chr21	37832919	37948867
CLDN15	chr7	100875372	100882101
CLDN16	chr3	190105660	190129932
CLDN17	chr21	31538240	31538971
CLDN18	chr3	137729005	137752494
CLDN19	chr1	43198763	43205925
CLDN2	chrX	106163605	106174091
CLDN20	chr6	155585146	155597682
CLDN22	chr4	184239219	184241927
CLDN23	chr8	8559665	8561617
CLDN3	chr7	73183326	73184600
CLDN4	chr7	73245192	73247015
CLDN5	chr22	19510546	19512860
CLDN6	chr16	3064712	3068188
CLDN7	chr17	7163221	7166512
CLDN8	chr21	31586323	31588469
CLDN9	chr16	3062456	3064506
CLTA	chr9	36190852	36212059
CLTB	chr5	175819455	175843570
CLTC	chr17	57697049	57774317
CLTCL1	chr22	19166986	19279239
COMP	chr19	18893582	18902114
CR1	chr1	207669472	207815110
CRK	chr17	1324646	1359561
CRKL	chr22	21271713	21308037
CSF3	chr17	38171613	38174066
CTNNA1	chr5	138089106	138270723
CTNNA2	chr2	79740059	80875988
CTNNA3	chr10	67679724	69425416
CTNNB1	chr3	41240941	41281939
CTTN	chr11	70244611	70282690
DARC	chr1	159173802	159176290
DDX58	chr9	32455299	32526322
DNM1	chr9	130965662	131017527
DNM1L	chr12	32832136	32898584
DNM2	chr19	10828728	10942586
DNM3	chr1	171810617	172381857
DOCK1	chr10	128594022	129250780
EGF	chr4	110834039	110934118
EGFR	chr7	55086724	55275031
EIF2AK1	chr7	6061877	6098860
EIF2AK2	chr2	37332283	37384190
EIF2AK3	chr2	88856258	88927094
EIF2AK4	chr15	40226346	40327797
EIF2S1	chr14	67827033	67853233
EIF3E	chr8	109213971	109260959
ELMO1	chr7	36892510	37488555
ERO1L	chr14	53108604	53162419
F2RL1	chr5	76114832	76131140
FAS	chr10	90750287	90775542
FASLG	chr1	172628184	172636012
FN1	chr2	216225178	216300791
GAB1	chr4	144257982	144395718
GNAQ	chr9	80335190	80646219
GNAS	chr20	57466425	57486250
GRB2	chr17	73314156	73401790
GSK3B	chr3	119540801	119813264
GYPA	chr4	145030455	145061904
GYPB	chr4	144917256	144940496
GYPC	chr2	127413510	127454251
HBA1	chr16	226678	227520
HBA2	chr16	222845	223709
HBB	chr11	5246695	5248301
HBD	chr11	5254058	5255858
HCLS1	chr3	121350245	121379791
HGF	chr7	81331443	81399452
HPR	chr16	72097124	72111145
HRAS	chr11	532241	535550
ICAM1	chr19	10381516	10397291
IFIT1	chr10	91152302	91166244
IFNA1	chr9	21440452	21441315
IFNA10	chr9	21206179	21207142
IFNA13	chr9	21367370	21368075
IFNA14	chr9	21239200	21239978
IFNA16	chr9	21216371	21217310
IFNA17	chr9	21227241	21228221
IFNA2	chr9	21384253	21385396
IFNA21	chr9	21165635	21166659
IFNA4	chr9	21186617	21187598
IFNA5	chr9	21304612	21305312
IFNA6	chr9	21350316	21350886
IFNA7	chr9	21201467	21202204
IFNA8	chr9	21409145	21410184
IFNAR1	chr21	34697213	34732128
IFNAR2	chr21	34602230	34635062
IFNB1	chr9	21077103	21077943
IFNG	chr12	68548549	68553521
IKBKB	chr8	42128819	42190171
IKBKE	chr1	206643585	206670223
IKBKG	chrX	153775561	153793261
IL10	chr1	206940947	206945839
IL12A	chr3	159706622	159713806
IL12B	chr5	158741790	158757481
IL18	chr11	112013973	112034840
IL1B	chr2	113587336	113594356
IL6	chr7	22766765	22771621
IL8	chr4	74606222	74609433
ILK	chr11	6624963	6632099
IRF1	chr5	131817300	131826465
IRF3	chr19	50162825	50169132
IRF7	chr11	612554	615999
IRF9	chr14	24629728	24635774
ITGA5	chr12	54789044	54813050
ITGAL	chr16	30483982	30534506
ITGB1	chr10	33189245	33224486
ITGB2	chr21	46305867	46348753
JAK1	chr1	65298905	65432187
KCNQ1	chr11	2482665	2870340
KDELR1	chr19	48885826	48894810
KDELR2	chr7	6500711	6523849
KDELR3	chr22	38864082	38879445
KLRB1	chr12	9747869	9760497
KLRK1	chr12	10524951	10542653
KRAS	chr12	25358179	25403854
LAMA4	chr6	112429133	112575917
LDLR	chr19	11200037	11244505
LRP1	chr12	57522281	57607125
MAD2L2	chr1	11734536	11751678
MAPK1	chr22	22113946	22221970
MAPK10	chr4	86936275	87281375
MAPK11	chr22	50702141	50708779
MAPK12	chr22	50688491	50700089
MAPK13	chr6	36098260	36112301
MAPK14	chr6	35995453	36079013
MAPK3	chr16	30125425	30134630
MAPK8	chr10	49609654	49643183
MAPK9	chr5	179660594	179719071
MET	chr7	116312458	116438440
MUC2	chr11	1074874	1104417
MYD88	chr3	38179968	38184512
NFKB1	chr4	103422485	103538459
NFKBIA	chr14	35870715	35873960
NR1H3	chr11	47279467	47290584
NRAS	chr1	115247084	115259515
OAS1	chr12	113344738	113355831
OAS2	chr12	113416273	113449528
OAS3	chr12	113376248	113411054
OCLN	chr5	68788589	68853931
PDIA4	chr7	148700153	148725782
PDK1	chr2	173420778	173463862
PECAM1	chr17	62396776	62407083
PIAS1	chr15	68346571	68480404
PIAS2	chr18	44390022	44497495
PIAS3	chr1	145575987	145586546
PIAS4	chr19	4007748	4038067
PIK3CA	chr3	178866310	178952497
PIK3CB	chr3	138371539	138478201
PIK3CD	chr1	9711789	9789172
PIK3CG	chr7	106505923	106547592
PIK3R1	chr5	67511583	67597649
PIK3R2	chr19	18263987	18281343
PIK3R3	chr1	46505811	46598708
PIK3R5	chr17	8782232	8869029
PLCB1	chr20	8112911	8865547
PLCB2	chr15	40580097	40600174
PLCB3	chr11	64018994	64036924
PLCB4	chr20	9049700	9461462
PLCG1	chr20	39766160	39804357
PLCG2	chr16	81812898	81991899
PPARA	chr22	46546498	46639653
PPP2CA	chr5	133532147	133561950
PPP2CB	chr8	30643125	30670352
PPP2R1A	chr19	52693054	52729678
PPP2R1B	chr11	111597631	111637169
PPP2R2A	chr8	26150731	26230195
PPP2R2B	chr5	145969066	146461083
PPP2R2C	chr4	6322304	6565327
PPP2R2D	chr10	133747959	133770053
PRKACA	chr19	14202506	14224992
PRKACB	chr1	84630064	84704181
PRKACG	chr9	71627448	71629039
PRKCA	chr17	64298925	64806862
PRKCG	chr19	54385466	54410901
PRKX	chrX	3522383	3631675
PSME3	chr17	40985158	40995777
PTK2	chr8	141668480	142011412
PXN	chr12	120648241	120703574
RAC1	chr7	6414125	6443598
RAF1	chr3	12625099	12705700
RELA	chr11	65421066	65430443
RHOA	chr3	49396578	49449526
RHOG	chr11	3848207	3862213
RIPK1	chr6	3076997	3115421
RNASEL	chr1	182542768	182558394
RXRA	chr9	137218315	137332431
SCARB1	chr12	125262173	125348519
SDC1	chr2	20400557	20425194
