	genome10.fasta	genome1.fasta	genome2.fasta	genome3.fasta	genome4.fasta	genome5.fasta	genome6.fasta	genome7.fasta	genome8.fasta	genome9.fasta
genome10.fasta	100	99.8974	99.9473	99.8864	99.857	99.8118	99.9242	99.807	99.9277	99.827
genome1.fasta	99.8974	100	99.8867	99.9471	99.8516	99.7902	99.8857	99.8147	99.8662	99.843
genome2.fasta	99.9473	99.8867	100	99.8773	99.8732	99.7898	99.934	99.8047	99.9422	99.8469
genome3.fasta	99.8864	99.9471	99.8773	100	99.8423	99.8019	99.8751	99.7911	99.8853	99.8043
genome4.fasta	99.857	99.8516	99.8732	99.8423	100	99.8586	99.8444	99.8425	99.86	99.8413
genome5.fasta	99.8118	99.7902	99.7898	99.8019	99.8586	100	99.7965	99.9456	99.8073	99.8671
genome6.fasta	99.9242	99.8857	99.934	99.8751	99.8444	99.7965	100	99.7996	99.9232	99.8074
genome7.fasta	99.807	99.8147	99.8047	99.7911	99.8425	99.9456	99.7996	100	99.7934	99.8723
genome8.fasta	99.9277	99.8662	99.9422	99.8853	99.86	99.8073	99.9232	99.7934	100	99.8207
genome9.fasta	99.827	99.843	99.8469	99.8043	99.8413	99.8671	99.8074	99.8723	99.8207	100
